course_id,course_name,course_desc,course_creator,course_img,createdAt,updatedAt,data_loaded_at
11,Grab Data Fast with Vertical and Horizontal LOOKUP,"Data can come our way in multiple forms and from multiple file types. Itï¿½s likely that at some point you will be faced with a data set that includes categories and subcategories under one heading or under headings with nested subheadings. Cutting through the file structure can seem like a time-consuming task, so it is critical to leverage VLOOKUP and HLOOKUP to pull out the needed data quickly. In this course you will understand how lookup tables work and apply VLOOKUP and HLOOKUP formulas to quickly extract data by treating a section of your spreadsheet as a lookup table. You will do this as we work side-by-side in the free-to-use software Google Sheets.  By the end of this course, you will understand use cases for using vertical and horizontal lookup to extract data when data sets have categories configured with multiple levels. You will also be able to confidently apply VLOOKUP and HLOOKUP formulas to grab data in any spreadsheet software.   Note: This course works best for learners who are based in the North America region. Weï¿½re currently working on providing the same experience in other regions.",800,https://images.pexels.com/photos/265087/pexels-photo-265087.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
12,Global Health: An Interdisciplinary Overview,"This course proposes an overview of current global health challenges drawing on the insights of several academic disciplines including medicine, public health, law, economics, social sciences and humanities. This interdisciplinary approach will guide the student into seven critical topics in global health.",500,https://images.pexels.com/photos/11035393/pexels-photo-11035393.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
13,Creating Dashboards and Storytelling with Tableau,"Leveraging the visualizations you created in the previous course, Visual Analytics with Tableau, you will create dashboards that help you identify the story within your data, and you will discover how to use Storypoints to create a powerful story to leave a lasting impression with your audience.  You will balance the goals of your stakeholders with the needs of your end-users, and be able to structure and organize your story for maximum impact. Throughout the course you will apply more Advanced functions within Tableau, such as hierarchies, actions and parameters to guide user interactions.  For your final project, you will create a compelling narrative to be delivered in a meeting, as a static report, or in an interactive display online.",100,https://images.pexels.com/photos/577585/pexels-photo-577585.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
14,Parallel programming,"With every smartphone and computer now boasting multiple processors, the use of functional ideas to facilitate parallel programming is becoming increasingly widespread. In this course, you'll learn the fundamentals of parallel programming, from task parallelism to data parallelism. In particular, you'll see how many familiar ideas from functional programming map perfectly to to the data parallel paradigm. We'll start the nuts and bolts how to effectively parallelize familiar collections operations, and we'll build up to parallel collections, a production-ready data parallel collections library available in the Scala standard library. Throughout, we'll apply these concepts through several hands-on examples that analyze real-world data, such as popular algorithms like k-means clustering.  Learning Outcomes. By the end of this course you will be able to:  - reason about task and data parallel programs, - express common algorithms in a functional style and solve them in parallel, - competently microbenchmark parallel code, - write programs that effectively use parallel collections to achieve performance  Recommended background: You should have at least one year programming experience. Proficiency with Java or C# is ideal, but experience with other languages such as C/C++, Python, Javascript or Ruby is also sufficient. You should have some familiarity using the command line. This course is intended to be taken after Functional Program Design in Scala: https://www.coursera.org/learn/progfun2.",400,https://images.pexels.com/photos/265087/pexels-photo-265087.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
15,Recommendation Systems with TensorFlow on GCP,"In this course, you'll apply your knowledge of classification models and embeddings to build a ML pipeline that functions as a recommendation engine.  ï¿½ Devise a content-based recommendation engine ï¿½ Implement a collaborative filtering recommendation engine ï¿½ Build a hybrid recommendation engine with user and content embeddings  >>> By enrolling in this course you agree to the Qwiklabs Terms of Service as set out in the FAQ and located at: https://qwiklabs.com/terms_of_service <<<",800,https://images.pexels.com/photos/265087/pexels-photo-265087.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
16,Preparing for the Google Cloud Professional Data Engineer Exam,"From the course: ""The best way to prepare for the exam is to be competent in the skills required of the job.""  This course uses a top-down approach to recognize knowledge and skills already known, and to surface information and skill areas for additional preparation. You can use this course to help create your own custom preparation plan. It helps you distinguish what you know from what you don't know. And it helps you develop and practice skills required of practitioners who perform this job.  The course follows the organization of the Exam Guide outline, presenting highest-level concepts, ""touchstones"", for you to determine whether you feel confident about your knowledge of that area and its dependent concepts, or if you want more study. You also will learn about and have the opportunity to practice key job skills, including cognitive skills such as case analysis, identifying technical watchpoints, and developing proposed solutions. These are job skills that are also exam skills. You will also test your basic abilities with Activity Tracking Challenge Labs. And you will have many sample questions similar to those on the exam, including solutions. The end of the course contains an ungraded practice exam quiz, followed by a graded practice exam quiz that simulates the exam-taking experience.  New! CERTIFICATE COMPLETION CHALLENGE to unlock benefits from Coursera and Google Cloud Enroll and complete Cloud Engineering with Google Cloud or Cloud Architecture with Google Cloud Professional Certificate  or Data Engineering with Google Cloud Professional Certificate before November 8, 2020 to receive the following benefits;   => Google Cloud t-shirt, for the first 1,000 eligible learners to complete. While supplies last. > Exclusive access to Big => Interview ($950 value) and career coaching  => 30 days free access to Qwiklabs ($50 value) to earn Google Cloud recognized skill badges by completing challenge quests",200,https://images.pexels.com/photos/11035393/pexels-photo-11035393.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
17,Multiple Regression Analysis in Public Health,"Biostatistics is the application of statistical reasoning to the life sciences, and it's the key to unlocking the data gathered by researchers and the evidence presented in the scientific public health literature. In this course, you'll extend simple regression to the prediction of a single outcome of interest on the basis of multiple variables. Along the way, you'll be introduced to a variety of methods, and you'll practice interpreting data and performing calculations on real data from published studies.  Topics include multiple logistic regression, the Spline approach, confidence intervals, p-values, multiple Cox regression, adjustment, and effect modification.",800,https://images.pexels.com/photos/265087/pexels-photo-265087.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
18,General Pathophysiology,"Dear listeners!  Warning: this course contains shocking materials and is not recommended for viewing to persons with weak psyche, minors and pregnant women.  The course describes subject and methods of Pathophysiology, its place within system of biomedical sciences and history.  It includes General Nosology (concept of health and disease, general etiology and pathogenesis, pathological processes and states, role of causal factors, conditions, reactivity and somatotype in pathology). It gives systematic of locally and centrally driven typical pathological processes: arterial, venous and combined hyperemiae, stasis, inflammation, immunopathological processes (including allergy and autoimmune disorders) acute phase response, fever, stress, shock, etc. Course deals with functional, metabolic and informational aspects of typical pathologic processes, like disorders of signaling, reception, post ï¿½ receptor translation, programming and program archiving, conflicts of programs in living systems. It contains the consequent analysis of the injury and defensive responses as regards separate cells, organs and tissues and the whole organism. The lectures based on authorï¿½s original three-volumed textbook and workshop in Pathophysiology republished in Russia many times.",1,https://images.pexels.com/photos/1181675/pexels-photo-1181675.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
19,Population Health: Alternative Payment Models,"The way we currently pay our care providers lead to suboptimal outcomes and unnecessary spending. Consequently, we fail to maximize the value of our health care services. We need to change provider payment models in order to keep health care systems financial sustainability. Doing nothing is not an option. But the question is, how do we do it?   During this course, we will discuss the rationale for payment reforms and dive into the key design elements of Alternative Payment Models (APMs) and how they change care provider incentives. You will learn about a roadmap to design and implement APMs on your own. You will learn about behavioural economics and human behaviour which are essential to advance the design and implementation of APMs. After the course you can apply your sharpened skills to lead change in health care via innovative payment models in order to increase value of health care services.  This course is targeted at a variety of professionals in the healthcare sector in order to realise a common language. Are you a provider, board member, working at a public or private payer or researcher working in the health sector, this course is relevant for you!  This Course is part of the to-be-developed Leiden University master program Population Health Management. If you wish to find out more about this program see the last reading of this Course!",500,https://images.pexels.com/photos/128867/coins-currency-investment-insurance-128867.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
20,AWS Elastic Beanstalk: Build & Deploy a Node.js RESTful API,"In this 1-hour long project-based course, you will learn how to create a Node.js RESTful API & launch it on your own server using AWS Elastic Beanstalk technology. You will be using the Express.js, or simply Express, a back end web application framework for Node.js framework to create your RESTful API & AWS desktop management console to deploy the RESTful API to the AWS servers. Additionally, you will learn more about reading the server logs, how to switch between different versions of your API applications & also, monitoring your AWS servers using Elastic Beanstalk Management Console.  Note: To avoid distraction for set up during the course, we would recommend that you create an Amazon AWS account beforehand. Amazon AWS provides a free tier option for 1 year & the course materials will utilize services that fall under the free tier option.",400,https://images.pexels.com/photos/669619/pexels-photo-669619.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
63,Control physics with C# in Unity,"In this two-hour-long, project-based course, you will be introduced to basic coding principles for controlling Physics in Unity. This project covers moving objects by applying various types of forces and creating new behavior for objects when idle, when clicked, and when they collide with other objects.  The guided project will familiarize you with the following Physics-based Unity components:  - Rigidbody  - Physic Material  - Force  - Torque  - Explosions",800,https://images.pexels.com/photos/577585/pexels-photo-577585.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
122,Securing and Integrating Components of your Application,"In this course, application developers learn how to design and develop cloud-native applications that seamlessly integrate managed services from Google Cloud. Through a combination of presentations, demos, and hands-on labs, participants learn how to apply best practices for application development and use the appropriate Google Cloud storage services for object storage, relational data, caching, and analytics. Learners can choose to complete labs in their favorite language: Node.js, Java, or Python.\t  * Describe best practices for cloud-native application development\t * Implement storage solution for objects (binary and large files) using Cloud Storage\t * Differentiate between data storage options for various types of application data\t * Implement solution for storing non-relational application data in Datastore",100,https://images.pexels.com/photos/577585/pexels-photo-577585.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
21,"Philosophy, Science and Religion: Philosophy and Religion","Philosophy, Science and Religion mark three of the most fundamental modes of thinking about the world and our place in it. Are these modes incompatible? Put another way: is the intellectually responsible thing to do to ï¿½pick sidesï¿½ and identify with one of these approaches at the exclusion of others? Or, are they complementary or mutually supportive? As is typical of questions of such magnitude, the devil is in the details. For example, it is important to work out what is really distinctive about each of these ways of inquiring about the world. In order to gain some clarity here, weï¿½ll be investigating what some of the current leading thinkers in philosophy, science and religion are actually doing.  This course, entitled ï¿½Philosophy and Religionï¿½, is the second of three related courses in our Philosophy, Science and Religion Online series, and in this course we will ask important questions about the age-old debate between science and religion, such as:   ï¿½  What kind of conflicts are there between religion and science? ï¿½  Does current cognitive science of religion effectively explain away God? ï¿½  If there is a God who has made us so that we can know him, why do some people not believe? ï¿½  Is belief in science also a kind of fundamentalism? ï¿½  What makes us good at getting, giving, or sharing, knowledge? Is this different when it is religious knowledge?  The first course in the Philosophy, Science and Religion series, 'Science and Philosophy' was launched early in 2017 and you can sign up to it at any time. The third course ï¿½ï¿½Religion and Scienceï¿½ï¿½will be launched early in 2018. Completing all three courses will give you a broader understanding of this fascinating topic. Look for:   ï¿½ Philosophy, Science and Religion I: Science and Philosophy https://www.coursera.org/learn/philosophy-science-religion-1/ ï¿½ Philosophy, Science and Religion III: Religion and Science  Upon successful completion of all three courses, students will:  (1) Understand the main parameters at stake in the current debate between science and religion. (2) Have some familiarity with the relevant areas of science that feature in the debateï¿½including cosmology, evolution, and the neurosciencesï¿½and will have begun to engage with them conceptually. (3) Have encountered key philosophical approaches to the interface between science and religion, and will have had the opportunity to engage them in practice. (4) Have embarked constructively in cross-disciplinary conversations. (5) Have demonstrated an openness to personal growth through a commitment to dialogue across intellectual and spiritual boundaries.  You can also follow us on Twitter at https://twitter.com/EdiPhilOnline and you can follow the hashtag #psrmooc",200,https://images.pexels.com/photos/265087/pexels-photo-265087.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
22,Electrodynamics: Analysis of Electric Fields,"This course is a continuation of Electrodynamics: An Introduction. Here, we will cover different methods of calculating an electric field. In addition, we will introduce polarization, dielectrics, and how electric fields create dipoles.   Learners will  ï¿½\tBe able to apply symmetry and other tools to calculate the electric field. ï¿½\tUnderstand what susceptibility, polarization, and dipoles are.  Additionally, students will learn to visualize Maxwell equations in order to apply the derived mathematics to other fields, such as heat/mass diffusion and meso-scale electromechanical properties, and to create patents that could lead to potential innovations in energy storage and harvesting. The approach taken in this course complements traditional approaches, covering a fairly complete treatment of the physics of electricity and magnetism, and adds Feynmanï¿½s unique and vital approach to grasping a picture of the physical universe. Furthermore, this course uniquely provides the link between the knowledge of electrodynamics and its practical applications to research in materials science, information technology, electrical engineering, chemistry, chemical engineering, energy storage, energy harvesting, and other materials related fields.",100,https://images.pexels.com/photos/577585/pexels-photo-577585.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
23,Fundamentals of Management,"Are you about to enter the workforce? Are you an emerging professional? Are you new to your role in the organization? All prospective new employees benefit from understanding management principles, roles and responsibilities, regardless of position.  Now you can acquire an in-depth understanding of the basic concepts and theories of management while exploring the manager's operational role in all types of organizations. Gain insight into the manager's responsibility in planning, organizing, leading, staffing and controlling within the workplace. Itï¿½s never too soon to plan your professional path by learning how the best managers manage for success!  Upon completing this course, you will be able to: 1.       Describe the difference between managers and leaders 2.       Explore the focus of a managerï¿½s job 3.       Cite the required skills for a new managerï¿½s success 4.       Describe the five functions of management 5.       Explain the new model management operating philosophy 6.       Describe the hierarchy of planning 7.       Use the SMART goal setting technique 8.       Discuss the concept of evolution of leadership 9.       Explain how customer satisfaction is linked to controlling 10.     Discuss the power of building a network",100,https://images.pexels.com/photos/669619/pexels-photo-669619.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
24,Hybrid Cloud Service Mesh with Anthos,"This on-demand course equips students to understand and adopt Istio-based service-mesh with Anthos for centralized observability, traffic management, and service-level security.",400,https://images.pexels.com/photos/11035393/pexels-photo-11035393.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
25,Dealing With Missing Data,"This course will cover the steps used in weighting sample surveys, including methods for adjusting for nonresponse and using data external to the survey for calibration.  Among the techniques discussed are adjustments using estimated response propensities, poststratification, raking, and general regression estimation.  Alternative techniques for imputing values for missing items will be discussed.  For both weighting and imputation, the capabilities of different statistical software packages will be covered, including Rï¿½, Stataï¿½, and SASï¿½.",200,https://images.pexels.com/photos/265087/pexels-photo-265087.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
26,COBOL Programming with VSCode,"Professor Tak Auyeung of American River College, said it beautifully, ï¿½A programming language is not a fashion statementï¿½ it is used for a purpose. Whether it is to add new features, modify logic, create APIs to integrate it into other applications, or implement modern development practices, businesses around the world need application developers who know COBOL.  This introductory COBOL course helps a novice learn the Structure of COBOL programs, Data types & Variable Handling, Intrinsic Functions, Branching logic and more. The goal of the course is to enable the participant to be able to write basic COBOL programs. This is a fantastic compliment to the IBM z/OS Practitioner path for the IBM Mainframe.  Join the COBOL Fridays web series. These webinars are curated for first-time programmers, lifelong learners, and anyone who's interested in learning COBOL. http://ibm.biz/cfcoursera  On successful completion of this course, learners are eligible to earn their COBOL Programming with VSCode badge.",200,https://images.pexels.com/photos/577585/pexels-photo-577585.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
27,Cryptography and Hashing Overview,"Continue learning about blockchain technology by diving into the nature of ownership and how the blockchain is one way to approach decentralized transaction handling. This course also demystifies cryptography and hashing, which are critical for authenticating users and guaranteeing transaction privacy.  This course requires the purchase of two books for the completion of assignments:  Drescher, D. (2017). Blockchain Basics: A Non-Technical Introduction in 25 Steps. (ISBN-13: 978-1484226032) Antonoupoulos, A. M. (2017). The Internet of Money, Volume Two. (ISBN-13: 978-1947910065)",500,https://images.pexels.com/photos/265087/pexels-photo-265087.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
28,Postman - Intro to APIs (without coding),"We use APIs everyday - when we check the news, when we log into online service - because APIs are used by many companies as a way to interact with their product or service. Being able understand and send API requests is helpful in many roles across the business - including product, marketing and data. If you work alongside or interact with APIs in your job, or you want to use APIs in your tech or data projects, this course is a great introduction to interacting with APIs without writing could (using a program called Postman). By the end of this project, you will understand what APIs are and what they are used for. You will have interacted with a number of APIs, and recognise the different parts which make up an API. You will feel comfortable reading API documentation and writing your own requests.",600,https://images.pexels.com/photos/12935051/pexels-photo-12935051.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
29,Protecting Business Innovations via Patent,"Protecting Business Innovations via Patent  Watch Course Overview:  https://youtu.be/mUja4iwbrTE  This course assumes no prior knowledge in law, business or engineering.  However, students with backgrounds in all three areas will find useful concepts or ideas in the course on how to protect business innovations using patents.  The approach taken in this course is practical and commercial rather than theoretical. A combination of lectures and case studies help to illustrate the concepts and make the course more interesting.     After completing this course, students should be able to understand how patents are issued and protect innovations, including: What is a patent? What do they protect? How do we get a patent? Where are patents valid? How much do they cost?   In addition to basic concepts the course also deals with Advanced topics such as: software patents, business process patents, patenting life, patent trolls and multiple case examples of large and small companies using patents and patent lawsuits.   We also expect you to have fun in this course.  So go forth and enjoy!  Other courses in the Protecting Business Innovations series: 1. Copyright:     https://www.coursera.org/learn/protect-business-innovations-copyright 2. Trademark:  https://www.coursera.org/learn/protect-business-innovations-trademark  3. Patent:          https://www.coursera.org/learn/protect-business-innovations-patent 4. Strategy:       https://www.coursera.org/learn/protect-business-innovations-strategy",1,https://images.pexels.com/photos/5668473/pexels-photo-5668473.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
30,Introduction to Cybersecurity Tools & Cyber Attacks,"This course gives you the background needed to understand basic Cybersecurity.  You will learn the history of Cybersecurity, types and motives of cyber attacks to further your knowledge of current threats to organizations and individuals.  Key terminology, basic system concepts and tools will be examined as an introduction to the Cybersecurity field.  You will learn about critical thinking and its importance to anyone looking to pursue a career in Cybersecurity.  Finally, you will begin to learn about organizations and resources to further research cybersecurity issues in the Modern era.  This course is intended for anyone who wants to gain a basic understanding of Cybersecurity or as the first course in a series of courses to acquire the skills to work in the Cybersecurity field as a Jr Cybersecurity Analyst.  The completion of this course also makes you eligible to earn the Introduction to Cybersecurity Tools & Cyber Attacks IBM digital badge.  More information about the badge can be found https://www.youracclaim.com/org/ibm/badge/introduction-to-cybersecurity-tools-cyber-attacks  Want to see if this is a good career fit for you?  IBM is collaborating with MyInnerGenius, one of the world's leading assessment companies, to help you find out which careers in IT you will love -- careers that are a great match for you -- regardless of your education or experience -- even if youï¿½ve never considered a role in IT.    In less than an hour, you will receive targeted recommendations for hot roles where you will excel and everything you need to get started. You can even earn IBM Digital Badges to show the world your skills!  Find out more http://ibm.myinnergenius.com/",800,https://images.pexels.com/photos/5483240/pexels-photo-5483240.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
31,Introduction to Cybersecurity Tools & Cyber Attacks,"This course gives you the background needed to understand basic Cybersecurity.  You will learn the history of Cybersecurity, types and motives of cyber attacks to further your knowledge of current threats to organizations and individuals.  Key terminology, basic system concepts and tools will be examined as an introduction to the Cybersecurity field.  You will learn about critical thinking and its importance to anyone looking to pursue a career in Cybersecurity.  Finally, you will begin to learn about organizations and resources to further research cybersecurity issues in the Modern era.  This course is intended for anyone who wants to gain a basic understanding of Cybersecurity or as the first course in a series of courses to acquire the skills to work in the Cybersecurity field as a Jr Cybersecurity Analyst.  The completion of this course also makes you eligible to earn the Introduction to Cybersecurity Tools & Cyber Attacks IBM digital badge.  More information about the badge can be found https://www.youracclaim.com/org/ibm/badge/introduction-to-cybersecurity-tools-cyber-attacks  Want to see if this is a good career fit for you?  IBM is collaborating with MyInnerGenius, one of the world's leading assessment companies, to help you find out which careers in IT you will love -- careers that are a great match for you -- regardless of your education or experience -- even if youï¿½ve never considered a role in IT.    In less than an hour, you will receive targeted recommendations for hot roles where you will excel and everything you need to get started. You can even earn IBM Digital Badges to show the world your skills!  Find out more http://ibm.myinnergenius.com/",400,https://images.pexels.com/photos/5483240/pexels-photo-5483240.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
32,Foundations of Objective-C App Development,"An introduction to the Objective-C programming language.  This will prepare you for more extensive iOS app development and build a foundation for Advanced iOS development topics.  Objective-C programming requires a Mac laptop or desktop computer.  An iOS device is optional if the learner is willing to working exclusively with the simulator.  Some learners have been able to work with an OS X virtual machine on Windows, but explaining how to do that is beyond the scope of this course.  Upon completing this course, you will be able to: 1.       Read and write Objective-C 2.       Have a strong grasp of Objective-C objects 3.       Organize their code professionally using objects and blocks 4.       Prototype several entry-level apps",300,https://images.pexels.com/photos/577585/pexels-photo-577585.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
33,Programming Mobile Applications for Android Handheld Systems: Part 2,"This course introduces you to the design and implementation of Android applications for mobile devices. You will build upon concepts from the prior course, including handling notifications, using multimedia and graphics and incorporating touch and gestures into your apps.",500,https://images.pexels.com/photos/577585/pexels-photo-577585.jpeg,2021-06-09,2021-06-09,2024-10-08 16:11:56.496826
